Reservoir,Date,Live_Storage(TMC),Reservoir_level(ft/m),Inflow,Outflow
Hemavathi,2010-09-30,34.17,2918.92,2411,5198
Hemavathi,2010-12-31,33.94,2918.67,2619,5192
Hemavathi,2011-01-01,31.6,2916.07,981,2001
Hemavathi,2011-01-02,31.5,2915.95,849,1950
Hemavathi,2011-01-03,31.39,2915.82,782,1950
Hemavathi,2011-01-04,31.34,2915.77,695,1075
Hemavathi,2011-01-05,31.34,2915.77,661,550
Hemavathi,2011-01-06,31.33,2915.75,564,650
Hemavathi,2011-01-07,31.3,2915.72,566,750
Hemavathi,2011-01-08,31.27,2915.69,566,750
Hemavathi,2011-01-09,31.27,2915.68,613,600
Hemavathi,2011-01-10,31.26,2915.67,612,600
Hemavathi,2011-01-11,31.23,2915.64,684,866
Hemavathi,2011-01-12,31.21,2915.61,469,454
Hemavathi,2011-01-13,31.21,2915.61,469,454
Hemavathi,2011-01-14,31.2,2915.6,365,350
Hemavathi,2011-01-15,31.18,2915.58,266,350
Hemavathi,2011-01-16,31.16,2915.56,266,350
Hemavathi,2011-01-17,31.15,2915.54,269,350
Hemavathi,2011-01-18,31.12,2915.51,170,350
Hemavathi,2011-01-19,31.11,2915.5,209,192
Hemavathi,2011-01-20,31.1,2915.49,167,150
Hemavathi,2011-01-21,31.1,2915.48,167,150
Hemavathi,2011-01-22,31.09,2915.47,187,150
Hemavathi,2011-01-23,31.08,2915.46,167,150
Hemavathi,2011-01-24,31.07,2915.45,169,150
Hemavathi,2011-01-25,31.06,2915.44,171,150
Hemavathi,2011-01-26,31.04,2915.42,171,150
Hemavathi,2011-01-27,31.04,2915.42,171,150
Hemavathi,2011-01-28,31.04,2915.41,171,150
Hemavathi,2011-01-29,31.03,2915.4,171,150
Hemavathi,2011-01-30,31.02,2915.39,171,150
Hemavathi,2011-01-31,31.01,2915.38,169,150
Hemavathi,2011-02-01,31.0,2915.37,169,150
Hemavathi,2011-02-02,30.99,2915.36,168,150
Hemavathi,2011-02-03,30.99,2915.35,171,150
Hemavathi,2011-02-04,30.98,2915.34,173,150
Hemavathi,2011-02-05,30.97,2915.33,173,150
Hemavathi,2011-02-06,30.96,2915.32,175,150
Hemavathi,2011-02-07,30.95,2915.31,175,150
Hemavathi,2011-02-08,30.94,2915.3,178,150
Hemavathi,2011-02-09,30.93,2915.29,177,150
Hemavathi,2011-02-10,30.93,2915.28,180,150
Hemavathi,2011-02-11,30.92,2915.27,217,187
Hemavathi,2011-02-12,30.79,2915.12,152,1500
Hemavathi,2011-02-13,30.66,2914.97,154,1500
Hemavathi,2011-02-14,30.53,2914.82,156,1500
Hemavathi,2011-02-15,30.41,2914.67,155,1500
Hemavathi,2011-02-16,30.28,2914.52,157,1500
Hemavathi,2011-02-17,30.09,2914.3,134,2166
Hemavathi,2011-02-18,29.88,2914.05,122,2450
Hemavathi,2011-02-19,29.67,2913.79,168,2500
Hemavathi,2011-02-20,29.38,2913.44,144,3300
Hemavathi,2011-02-21,29.11,2913.1,138,3200
Hemavathi,2011-02-22,28.84,2912.77,180,3150
Hemavathi,2011-02-23,28.56,2912.43,186,3250
Hemavathi,2011-02-24,28.26,2912.06,155,3500
Hemavathi,2011-02-25,27.96,2911.67,125,3500
Hemavathi,2011-02-26,27.66,2911.28,152,3500
Hemavathi,2011-02-27,27.36,2910.89,151,3500
Hemavathi,2011-02-28,27.06,2910.5,150,3500
Hemavathi,2011-03-01,26.76,2910.11,151,3500
Hemavathi,2011-03-02,26.46,2909.71,167,3500
Hemavathi,2011-03-03,26.16,2909.3,121,3500
Hemavathi,2011-03-04,25.86,2908.89,120,3500
Hemavathi,2011-03-05,25.86,2908.89,120,3500
Hemavathi,2011-03-06,25.25,2908.07,120,3500
Hemavathi,2011-03-07,24.95,2907.65,125,3500
Hemavathi,2011-03-08,24.64,2907.22,64,3500
Hemavathi,2011-03-09,24.33,2906.79,63,3500
Hemavathi,2011-03-10,24.02,2906.36,62,3500
Hemavathi,2011-03-11,23.72,2905.93,76,3500
Hemavathi,2011-03-12,23.41,2905.49,60,3500
Hemavathi,2011-03-13,23.12,2905.07,96,3375
Hemavathi,2011-03-14,22.82,2904.64,51,3375
Hemavathi,2011-03-15,22.56,2904.27,38,2875
Hemavathi,2011-03-16,22.31,2903.9,79,2900
Hemavathi,2011-03-17,22.06,2903.54,92,2800
Hemavathi,2011-03-18,21.8,2903.16,34,2900
Hemavathi,2011-03-19,21.55,2902.78,83,2950
Hemavathi,2011-03-20,21.29,2902.4,83,2950
Hemavathi,2011-03-21,21.03,2902.02,107,2950
Hemavathi,2011-03-22,20.78,2901.64,43,2850
Hemavathi,2011-03-23,20.52,2901.26,46,2850
Hemavathi,2011-03-24,20.2,2900.78,75,3650
Hemavathi,2011-03-25,19.9,2900.32,25,3450
Hemavathi,2011-03-26,19.59,2899.84,63,3450
Hemavathi,2011-03-27,19.29,2899.3,51,3450
Hemavathi,2011-03-28,18.99,2898.76,49,3450
Hemavathi,2011-03-29,18.99,2898.76,49,3450
Hemavathi,2011-03-30,18.38,2897.68,48,3450
Hemavathi,2011-03-31,18.07,2897.14,46,3450
Hemavathi,2011-04-01,17.77,2896.6,46,3450
Hemavathi,2011-04-02,17.46,2896.06,43,3450
Hemavathi,2011-04-03,17.16,2895.52,42,3450
Hemavathi,2011-04-04,16.87,2895.01,36,3250
Hemavathi,2011-04-05,16.59,2894.5,36,3250
Hemavathi,2011-04-06,16.29,2893.98,20,3300
Hemavathi,2011-04-07,16.0,2893.46,18,3300
Hemavathi,2011-04-08,15.71,2892.94,17,3300
Hemavathi,2011-04-09,15.41,2892.42,15,3300
Hemavathi,2011-04-10,15.12,2891.9,14,3300
Hemavathi,2011-04-11,14.83,2891.38,13,3300
Hemavathi,2011-04-12,14.54,2890.86,11,3300
Hemavathi,2011-04-13,14.24,2890.34,11,3300
Hemavathi,2011-04-14,13.95,2889.82,35,3325
Hemavathi,2011-04-15,13.66,2889.3,35,3325
Hemavathi,2011-04-16,13.37,2888.79,74,3300
Hemavathi,2011-04-17,13.17,2888.43,99,2350
Hemavathi,2011-04-18,12.96,2888.07,98,2350
Hemavathi,2011-04-19,12.76,2887.59,49,2350
Hemavathi,2011-04-20,12.55,2887.08,32,2350
Hemavathi,2011-04-21,12.34,2886.57,31,2350
Hemavathi,2011-04-22,12.13,2886.06,25,2350
Hemavathi,2011-04-23,11.93,2885.55,27,2350
Hemavathi,2011-04-24,11.72,2885.04,25,2350
Hemavathi,2011-04-25,11.51,2884.53,23,2350
Hemavathi,2011-04-26,11.3,2884.02,22,2350
Hemavathi,2011-04-27,11.1,2883.51,22,2350
Hemavathi,2011-04-28,10.89,2883.0,21,2350
Hemavathi,2011-04-29,10.73,2882.6,38,1850
Hemavathi,2011-04-30,10.56,2882.2,39,1850
Hemavathi,2011-05-01,10.4,2881.8,38,1850
Hemavathi,2011-05-02,10.24,2881.4,38,1850
Hemavathi,2011-05-03,10.07,2881.0,37,1850
Hemavathi,2011-05-04,9.91,2880.6,31,1850
Hemavathi,2011-05-05,9.76,2880.23,73,1750
Hemavathi,2011-05-06,9.61,2879.85,77,1800
Hemavathi,2011-05-07,9.45,2879.46,82,1850
Hemavathi,2011-05-08,9.29,2879.07,82,1850
Hemavathi,2011-05-09,9.13,2878.68,78,1850
Hemavathi,2011-05-10,8.97,2878.29,75,1850
Hemavathi,2011-05-11,8.81,2877.88,42,1850
Hemavathi,2011-05-12,8.65,2877.44,65,1850
Hemavathi,2011-05-13,8.48,2876.98,72,1942
Hemavathi,2011-05-14,8.32,2876.52,80,1950
Hemavathi,2011-05-15,8.15,2876.07,122,1950
Hemavathi,2011-05-16,7.99,2875.62,121,1950
Hemavathi,2011-05-17,7.83,2875.17,118,1950
Hemavathi,2011-05-18,7.67,2874.7,226,1950
Hemavathi,2011-05-19,7.54,2874.26,340,1850
Hemavathi,2011-05-20,7.41,2873.84,410,1850
Hemavathi,2011-05-21,7.28,2873.44,480,1850
Hemavathi,2011-05-22,7.17,2873.06,551,1850
Hemavathi,2011-05-23,7.06,2872.68,621,1850
Hemavathi,2011-05-24,6.95,2872.3,632,1850
Hemavathi,2011-05-25,6.84,2871.93,664,1850
Hemavathi,2011-05-26,6.74,2871.57,697,1850
Hemavathi,2011-05-27,6.63,2871.22,730,1850
Hemavathi,2011-05-28,6.56,2870.92,767,1620
Hemavathi,2011-05-29,6.45,2870.31,790,2020
Hemavathi,2011-05-30,6.34,2869.7,859,2090
Hemavathi,2011-05-31,6.25,2869.25,1254,2150
Hemavathi,2011-06-01,6.21,2868.99,1632,2150
Hemavathi,2011-06-02,6.19,2868.96,2075,2150
Hemavathi,2011-06-03,6.19,2868.94,2115,2150
Hemavathi,2011-06-04,6.18,2868.91,1955,2030
Hemavathi,2011-06-05,6.15,2868.83,1694,1970
Hemavathi,2011-06-06,6.21,2869.0,2060,1138
Hemavathi,2011-06-07,6.38,2869.95,3194,1050
Hemavathi,2011-06-08,6.53,2870.8,2850,1050
Hemavathi,2011-06-09,6.71,2871.5,3093,1050
Hemavathi,2011-06-10,7.02,2872.55,4249,675
Hemavathi,2011-06-11,7.36,2873.69,4358,350
Hemavathi,2011-06-12,7.84,2875.2,5752,200
Hemavathi,2011-06-13,8.65,2877.45,9702,200
Hemavathi,2011-06-14,9.25,2878.98,7186,200
Hemavathi,2011-06-15,9.69,2880.05,5289,200
Hemavathi,2011-06-16,10.16,2881.2,5678,200
Hemavathi,2011-06-17,10.56,2882.2,4963,200
Hemavathi,2011-06-18,10.97,2883.2,5397,633
Hemavathi,2011-06-19,11.3,2884.0,4822,1000
Hemavathi,2011-06-20,11.46,2884.41,2986,1000
Hemavathi,2011-06-21,11.6,2884.75,2656,1000
Hemavathi,2011-06-22,11.68,2884.94,1490,541
Hemavathi,2011-06-23,11.74,2885.1,1308,500
Hemavathi,2011-06-24,11.91,2885.5,2440,500
