Reservoir,Date,Gross_Storage(TMC),Reservoir_level(ft/m),Inflow,Outflow
K.R.S,2011-01-01,46.42,122.59,2029,2000
K.R.S,2011-01-02,46.54,122.68,3084,1490
K.R.S,2011-01-03,46.64,122.75,2776,1491
K.R.S,2011-01-04,46.69,122.79,2311,1491
K.R.S,2011-01-05,46.7,122.8,1847,1491
K.R.S,2011-01-06,46.74,122.83,2156,1491
K.R.S,2011-01-07,46.76,122.84,1847,1491
K.R.S,2011-01-08,46.78,122.86,2002,1491
K.R.S,2011-01-09,46.77,122.85,1537,1491
K.R.S,2011-01-10,46.74,122.83,1382,1491
K.R.S,2011-01-11,46.7,122.8,1228,1491
K.R.S,2011-01-12,46.45,122.61,1530,4272
K.R.S,2011-01-13,46.45,122.61,1530,4272
K.R.S,2011-01-14,46.13,122.37,1667,5183
K.R.S,2011-01-15,45.77,122.1,1184,5164
K.R.S,2011-01-16,45.45,121.86,1651,5123
K.R.S,2011-01-17,45.17,121.65,2103,5104
K.R.S,2011-01-18,44.95,121.48,2694,5089
K.R.S,2011-01-19,44.69,121.28,2205,5055
K.R.S,2011-01-20,44.44,121.09,2351,5049
K.R.S,2011-01-21,44.2,120.9,2347,5014
K.R.S,2011-01-22,43.94,120.7,2211,4998
K.R.S,2011-01-23,43.68,120.5,2195,4982
K.R.S,2011-01-24,43.45,120.32,2455,4946
K.R.S,2011-01-25,43.16,120.09,1709,4941
K.R.S,2011-01-26,42.59,119.64,1874,4891
K.R.S,2011-01-27,42.59,119.64,1874,4891
K.R.S,2011-01-28,42.34,119.44,2149,4618
K.R.S,2011-01-29,42.05,119.21,1682,4844
K.R.S,2011-01-30,41.79,119,1958,4830
K.R.S,2011-01-31,41.56,118.81,2277,4802
K.R.S,2011-02-01,41.3,118.6,1987,4796
K.R.S,2011-02-02,40.98,118.34,872,4404
K.R.S,2011-02-03,40.66,118.08,500,4030
K.R.S,2011-02-04,40.48,117.93,703,2639
K.R.S,2011-02-05,40.42,117.88,570,1097
K.R.S,2011-02-06,40.35,117.82,432,1097
