Reservoir,Date,Live_Storage(TMC),Reservoir_level(ft/m),Inflow,Outflow
Kabini,2010-09-30,17.39,2280.59,1007,2490
Kabini,2010-12-31,17.23,2280.31,800,2490
Kabini,2011-01-21,16.56,2279.14,252,50
Kabini,2011-01-20,16.54,2279.12,318,50
Kabini,2011-01-22,16.57,2279.16,252,50
Kabini,2011-01-23,16.58,2279.18,252,50
Kabini,2011-01-24,16.59,2279.2,252,50
Kabini,2011-01-25,16.6,2279.22,252,50
Kabini,2011-01-26,16.61,2279.24,186,50
Kabini,2011-01-27,16.61,2279.24,186,50
Kabini,2011-01-28,16.55,2279.13,225,881
Kabini,2011-01-29,16.47,2278.99,148,1000
Kabini,2011-01-30,16.41,2278.89,150,725
Kabini,2011-01-31,16.36,2278.79,125,700
Kabini,2011-02-01,16.3,2278.69,125,700
Kabini,2011-02-02,16.25,2278.59,128,700
Kabini,2011-02-03,16.19,2278.49,128,700
Kabini,2011-02-04,16.19,2278.48,139,131
Kabini,2011-02-05,16.19,2278.48,123,50
Kabini,2011-02-06,16.19,2278.48,123,50
Kabini,2011-02-07,16.19,2278.48,123,50
Kabini,2011-02-08,16.19,2278.48,123,50
Kabini,2011-02-09,16.19,2278.48,123,50
Kabini,2011-02-10,16.19,2278.48,123,50
Kabini,2011-02-11,16.15,2278.42,119,433
Kabini,2011-02-12,16.09,2278.31,114,750
Kabini,2011-02-13,16.03,2278.2,114,750
Kabini,2011-02-14,15.97,2278.09,133,770
Kabini,2011-02-15,15.91,2277.98,134,770
Kabini,2011-02-16,15.85,2277.87,138,770
Kabini,2011-02-17,15.79,2277.76,138,770
Kabini,2011-02-18,15.73,2277.65,138,770
Kabini,2011-02-19,15.67,2277.55,115,683
Kabini,2011-02-20,15.61,2277.45,102,670
Kabini,2011-02-21,15.56,2277.35,102,670
Kabini,2011-02-22,15.5,2277.25,101,670
Kabini,2011-02-23,15.45,2277.15,101,670
Kabini,2011-02-24,15.39,2277.05,101,670
Kabini,2011-02-25,15.32,2276.92,114,870
Kabini,2011-02-26,15.2,2276.69,341,1728
Kabini,2011-02-27,15.06,2276.45,345,1795
Kabini,2011-02-28,14.96,2276.26,170,1303
Kabini,2011-03-01,14.86,2276.07,137,1207
Kabini,2011-03-02,14.72,2275.82,107,1563
Kabini,2011-03-03,14.57,2275.55,102,1680
Kabini,2011-03-04,14.43,2275.28,102,1680
Kabini,2011-03-05,14.43,2275.28,102,1680
Kabini,2011-03-06,14.11,2274.7,127,1880
Kabini,2011-03-07,13.95,2274.4,127,1880
Kabini,2011-03-08,13.8,2274.11,102,1793
Kabini,2011-03-09,13.64,2273.82,98,1780
Kabini,2011-03-10,13.49,2273.53,102,1780
Kabini,2011-03-11,13.34,2273.25,103,1720
Kabini,2011-03-12,13.19,2272.97,70,1683
Kabini,2011-03-13,13.05,2272.7,83,1600
Kabini,2011-03-14,12.91,2272.43,82,1600
Kabini,2011-03-15,12.76,2272.16,82,1600
Kabini,2011-03-16,12.62,2271.88,83,1640
Kabini,2011-03-17,12.47,2271.59,54,1640
Kabini,2011-03-18,12.33,2271.3,53,1640
Kabini,2011-03-19,12.18,2271.01,52,1640
Kabini,2011-03-20,12.04,2270.73,46,1540
Kabini,2011-03-21,11.91,2270.47,61,1440
Kabini,2011-03-22,11.79,2270.21,61,1440
Kabini,2011-03-23,11.66,2269.95,67,1440
Kabini,2011-03-24,11.58,2269.78,47,890
Kabini,2011-03-25,11.49,2269.61,46,890
Kabini,2011-03-26,11.48,2269.59,44,50
Kabini,2011-03-27,11.47,2269.57,44,50
Kabini,2011-03-28,11.46,2269.55,44,50
Kabini,2011-03-29,11.46,2269.55,44,50
Kabini,2011-03-30,11.45,2269.51,43,50
Kabini,2011-03-31,11.41,2269.43,39,381
Kabini,2011-04-01,11.35,2269.31,35,600
Kabini,2011-04-02,11.29,2269.19,69,600
