Reservoir,Date,Live_Storage(TMC),Reservoir_level(ft/m),Inflow,Outflow
Linganamakki,2010-09-30,145.42,1817.1,3940,0
Linganamakki,2010-12-31,145.08,1817,3965,0
Linganamakki,2011-01-02,123.22,1810.05,1561,0
Linganamakki,2011-01-03,122.65,1809.85,781,0
Linganamakki,2011-01-04,122.08,1809.65,944,0
Linganamakki,2011-01-05,121.51,1809.45,1022,0
Linganamakki,2011-01-06,120.95,1809.25,969,0
Linganamakki,2011-01-07,120.38,1809.05,0,0
Linganamakki,2011-01-01,123.68,1810.2,424,0
Linganamakki,2011-01-08,120.1,1808.95,2706,0
Linganamakki,2011-01-09,119.53,1808.15,1046,0
Linganamakki,2011-01-10,119.82,1808.85,1018,0
Linganamakki,2011-01-11,118.4,1808.35,1042,0
Linganamakki,2011-01-12,117.83,1808.15,20,0
Linganamakki,2011-01-13,117.27,1807.95,1156,0
Linganamakki,2011-01-14,116.7,1807.75,1050,0
Linganamakki,2011-01-15,116.28,1807.6,1925,0
Linganamakki,2011-01-16,115.71,1807.4,441,0
Linganamakki,2011-01-17,115.15,1807.2,0,0
Linganamakki,2011-01-18,114.72,1807.05,1676,0
Linganamakki,2011-01-19,114.3,1806.9,2076,0
Linganamakki,2011-01-20,113.73,1806.7,1193,0
Linganamakki,2011-01-21,113.16,1806.5,1230,0
Linganamakki,2011-01-22,112.6,1806.3,1169,0
Linganamakki,2011-01-23,112.03,1806.1,1181,0
Linganamakki,2011-01-24,111.47,1805.9,1067,0
Linganamakki,2011-01-25,110.77,1805.65,0,0
Linganamakki,2011-01-26,110.07,1805.4,1313,0
Linganamakki,2011-01-27,109.49,1805.2,0,0
Linganamakki,2011-01-28,108.79,1804.95,0,0
Linganamakki,2011-01-29,108.14,1804.7,450,0
Linganamakki,2011-01-30,107.5,1804.45,110,0
Linganamakki,2011-01-31,107.01,1804.25,0,0
Linganamakki,2011-02-01,105.18,1804.05,0,0
Linganamakki,2011-02-02,105.84,1803.8,658,0
Linganamakki,2011-02-03,105.15,1803.55,0,0
Linganamakki,2011-02-04,104.49,1803.3,674,0
Linganamakki,2011-02-05,103.84,1803.05,687,0
Linganamakki,2011-02-06,103.06,1802.75,674,0
Linganamakki,2011-02-07,102.28,1802.45,331,0
Linganamakki,2011-02-08,101.5,1802.15,0,0
Linganamakki,2011-02-09,100.85,1801.9,0,0
Linganamakki,2011-02-10,100.65,1801.6,421,0
Linganamakki,2011-02-11,99.28,5908.26,0,0
Linganamakki,2011-02-12,98.63,1801.05,2059,0
Linganamakki,2011-02-13,97.85,1800.75,0,0
Linganamakki,2011-02-14,97.07,1800.45,0,0
Linganamakki,2011-02-15,96.29,1800.15,0,0
Linganamakki,2011-02-16,95.54,1799.85,0,0
Linganamakki,2011-02-17,94.83,1799.55,601,0
Linganamakki,2011-02-18,94.22,1799.3,2305,0
Linganamakki,2011-02-19,93.64,1799.05,1353,0
Linganamakki,2011-02-20,92.57,1798.6,691,0
Linganamakki,2011-02-21,92.57,1798.6,691,0
Linganamakki,2011-02-22,91.97,1798.35,862,0
Linganamakki,2011-02-23,91.5,1798.15,2570,0
Linganamakki,2011-02-24,91.02,1797.95,662,0
Linganamakki,2011-02-25,90.54,1797.75,601,0
Linganamakki,2011-02-26,89.95,1797.5,401,0
Linganamakki,2011-02-27,89.35,1797.25,0,0
Linganamakki,2011-02-28,88.88,1797.05,2088,0
Linganamakki,2011-03-01,88.28,1796.8,462,0
Linganamakki,2011-03-02,87.57,1796.5,0,0
Linganamakki,2011-03-03,86.86,1796.2,507,0
Linganamakki,2011-03-04,86.14,1795.9,333,0
Linganamakki,2011-03-05,85.43,1795.6,106,0
Linganamakki,2011-03-06,84.71,1795.3,384,0
Linganamakki,2011-03-07,84.0,1795.0,555,0
Linganamakki,2011-03-08,83.35,1794.7,233,0
Linganamakki,2011-03-09,82.6,1794.35,237,0
Linganamakki,2011-03-10,81.73,1793.95,0,0
Linganamakki,2011-03-11,80.98,1793.6,294,0
Linganamakki,2011-03-12,80.22,1793.25,315,0
Linganamakki,2011-03-13,79.46,1792.9,751,0
Linganamakki,2011-03-14,78.71,1792.55,192,0
Linganamakki,2011-03-15,77.95,1792.2,413,0
Linganamakki,2011-03-16,77.2,1791.85,1087,0
Linganamakki,2011-03-17,76.44,1791.5,282,0
Linganamakki,2011-03-18,75.68,1791.15,233,0
Linganamakki,2011-03-19,74.93,1790.8,0,0
Linganamakki,2011-03-20,74.12,1790.45,0,0
Linganamakki,2011-03-21,73.42,1790.1,0,0
Linganamakki,2011-03-22,72.71,1789.75,1128,0
Linganamakki,2011-03-23,72.02,1789.4,548,0
Linganamakki,2011-03-24,71.34,1789.05,0,0
Linganamakki,2011-03-25,70.65,1788.7,1226,0
Linganamakki,2011-03-26,69.96,1788.3,37,0
Linganamakki,2011-03-27,69.28,1788.0,0,0
Linganamakki,2011-03-28,68.99,1787.7,0,0
Linganamakki,2011-03-29,68.11,1787.4,1402,0
Linganamakki,2011-03-30,67.42,1787.05,0,0
Linganamakki,2011-03-31,66.74,1786.7,674,0
Linganamakki,2011-04-01,66.05,1786.35,0,0
Linganamakki,2011-04-02,65.37,1786.0,266,0
Linganamakki,2011-04-03,64.68,1785.65,916,0
Linganamakki,2011-04-04,63.99,1785.3,139,0
Linganamakki,2011-04-05,63.23,1784.9,0,0
Linganamakki,2011-04-06,62.52,1784.5,0,0
Linganamakki,2011-04-07,61.82,1784.1,0,0
Linganamakki,2011-04-08,61.11,1783.7,78,0
Linganamakki,2011-04-09,60.4,1783.3,535,0
Linganamakki,2011-04-10,59.69,1782.9,527,0
Linganamakki,2011-04-11,59.16,1782.6,2125,0
Linganamakki,2011-04-12,58.55,1782.25,1185,0
Linganamakki,2011-04-13,57.84,1781.85,409,0
Linganamakki,2011-04-14,57.22,1781.51,458,0
Linganamakki,2011-04-15,26.42,1781.05,0,0
Linganamakki,2011-04-16,55.89,1780.75,167,0
Linganamakki,2011-04-17,55.36,1780.45,764,0
Linganamakki,2011-04-18,54.92,1780.2,0,0
Linganamakki,2011-04-19,54.41,1779.9,511,0
Linganamakki,2011-04-20,53.93,1779.6,0,0
Linganamakki,2011-04-21,53.38,1779.25,1168,0
Linganamakki,2011-04-22,58.24,1778.9,0,0
Linganamakki,2011-04-23,52.35,1778.6,78,0
Linganamakki,2011-04-24,51.96,1778.35,544,0
Linganamakki,2011-04-25,51.56,1778.1,0,0
Linganamakki,2011-04-26,51.08,1777.8,2121,0
Linganamakki,2011-04-27,50.45,1777.4,294,0
Linganamakki,2011-04-28,49.9,1777.05,534,0
Linganamakki,2011-04-29,49.34,1776.7,0,0
Linganamakki,2011-04-30,48.79,1776.35,748,0
Linganamakki,2011-05-01,48.23,1776.0,0,0
Linganamakki,2011-05-02,47.76,1775.7,0,0
Linganamakki,2011-05-03,47.13,1775.3,0,0
Linganamakki,2011-05-04,46.51,1774.9,0,0
Linganamakki,2011-05-05,45.87,1774.45,0,0
Linganamakki,2011-05-06,45.31,1774.05,915,0
Linganamakki,2011-05-07,44.67,1773.06,715,0
Linganamakki,2011-05-08,43.96,1773.01,572,0
Linganamakki,2011-05-09,43.16,1772.55,0,0
Linganamakki,2011-05-10,42.35,1772.2,294,0
Linganamakki,2011-05-11,41.67,1771.5,188,0
Linganamakki,2011-05-12,40.92,1770.95,258,0
Linganamakki,2011-05-13,40.21,1770.45,421,0
Linganamakki,2011-05-14,39.32,1769.8,1128,0
Linganamakki,2011-05-15,38.76,1769.35,1083,0
Linganamakki,2011-05-16,38.15,1768.85,2489,0
Linganamakki,2011-05-17,37.48,1768.3,1304,0
Linganamakki,2011-05-18,36.67,1767.7,135,0
Linganamakki,2011-05-19,35.85,1767.05,0,0
Linganamakki,2011-05-20,35.03,1766.4,0,0
Linganamakki,2011-05-21,34.52,1766.0,0,0
Linganamakki,2011-05-22,33.83,1765.45,0,0
Linganamakki,2011-05-23,33.04,1764.8,0,0
Linganamakki,2011-05-24,32.42,1764.25,0,0
Linganamakki,2011-05-25,31.69,1763.6,0,0
Linganamakki,2011-05-26,28.37,1760.65,0,0
Linganamakki,2011-05-27,30.22,1762.3,0,0
Linganamakki,2011-05-28,29.83,1761.95,686,0
Linganamakki,2011-05-29,29.27,1761.45,0,0
Linganamakki,2011-05-30,28.93,1761.15,221,0
Linganamakki,2011-05-31,28.37,1760.65,0,0
Linganamakki,2011-06-01,27.81,1760.15,0,0
Linganamakki,2011-06-02,27.24,1759.6,131,0
Linganamakki,2011-06-03,26.59,1758.95,192,0
Linganamakki,2011-06-04,26.34,1758.7,4296,0
Linganamakki,2011-06-05,26.54,1758.9,5624,0
Linganamakki,2011-06-06,26.39,1758.75,4496,0
Linganamakki,2011-06-07,26.24,1758.6,4087,0
Linganamakki,2011-06-08,26.09,1758.46,5411,0
Linganamakki,2011-06-09,26.04,1758.4,5223,0
Linganamakki,2011-06-10,25.84,1758.2,3560,0
Linganamakki,2011-06-11,25.84,1758.2,5959,0
Linganamakki,2011-06-12,25.99,1758.35,7839,0
Linganamakki,2011-06-13,26.54,1758.9,9000,0
Linganamakki,2011-06-14,26.64,1759.0,7128,0
Linganamakki,2011-06-15,27.04,1759.4,9476,0
Linganamakki,2011-06-16,28.65,1760.9,20923,0
Linganamakki,2011-06-17,29.21,1761.4,10075,0
Linganamakki,2011-06-18,29.44,1761.6,6887,0
Linganamakki,2011-06-20,29.55,1761.7,5465,0
Linganamakki,2011-06-21,29.44,1761.6,4905,0
Linganamakki,2011-06-22,29.21,1761.4,3245,0
Linganamakki,2011-06-23,30.73,1762.75,24940,0
Linganamakki,2011-06-24,31.4,1763.35,15850,0
Linganamakki,2011-06-19,29.55,1761.7,5465,0
Linganamakki,2011-06-25,31.57,1763.5,9907,0
Linganamakki,2011-06-26,33.64,1765.3,28819,0
Linganamakki,2011-06-27,35.03,1766.4,19966,0
Linganamakki,2011-06-28,36.92,1769.9,24311,0
Linganamakki,2011-06-29,38.26,1768.95,18773,0
Linganamakki,2011-06-30,38.5,1769.15,9446,0
Linganamakki,2011-07-01,38.69,1769.3,9454,0
Linganamakki,2011-07-02,39.2,1769.7,12658,0
Linganamakki,2011-07-03,40.85,1770.9,22627,0
Linganamakki,2011-07-04,41.54,1771.4,13893,0
Linganamakki,2011-07-05,42.86,1772.35,22018,0
Linganamakki,2011-07-06,43.3,1772.65,10704,0
Linganamakki,2011-07-07,44.1,1773.2,14841,0
Linganamakki,2011-07-08,44.24,1773.3,8416,0
Linganamakki,2011-07-09,44.46,1773.45,9715,0
Linganamakki,2011-07-10,44.46,1773.45,8015,0
Linganamakki,2011-07-11,44.46,1773.45,8575,0
Linganamakki,2011-07-12,44.95,1773.8,12945,0
Linganamakki,2011-07-13,45.16,1773.95,10807,0
Linganamakki,2011-07-14,45.94,1774.5,13472,0
Linganamakki,2011-07-15,46.97,1775.2,14935,0
Linganamakki,2011-07-16,48.23,1776.0,19647,0
Linganamakki,2011-07-17,53.46,1779.3,62392,0
Linganamakki,2011-07-18,60.23,1783.2,78373,0
Linganamakki,2011-07-19,64.39,1785.5,48928,0
Linganamakki,2011-07-20,67.32,1787.0,38490,0
Linganamakki,2011-07-21,70.07,1788.4,35502,0
Linganamakki,2011-07-22,72.51,1789.65,32976,0
Linganamakki,2011-07-23,74.6,1790.65,27241,0
Linganamakki,2011-07-24,77.74,1792.1,39495,0
Linganamakki,2011-07-25,79.68,1793.0,25496,0
Linganamakki,2011-07-26,80.54,1793.4,16373,0
Linganamakki,2011-07-27,81.41,1793.8,16557,0
Linganamakki,2011-07-28,82.16,1794.15,12903,0
Linganamakki,2011-07-29,82.6,1794.35,11019,0
Linganamakki,2011-07-30,83.14,1794.6,10063,0
Linganamakki,2011-07-31,83.68,1794.85,11708,0
Linganamakki,2011-08-01,84.24,1795.1,11117,0
Linganamakki,2011-08-02,84.71,1795.3,9585,0
Linganamakki,2011-08-03,87.81,1796.6,39217,0
Linganamakki,2011-08-04,90.66,1797.8,34885,0
Linganamakki,2011-08-05,93.77,1799.1,36593,0
Linganamakki,2011-08-06,96.03,1800.05,26596,0
Linganamakki,2011-08-07,98.5,1801.0,27626,0
Linganamakki,2011-08-08,101.88,1802.3,39618,0
Linganamakki,2011-08-09,103.97,1803.1,23882,0
Linganamakki,2011-08-10,105.15,1803.55,19521,0
Linganamakki,2011-08-11,105.84,1803.8,12658,0
Linganamakki,2011-08-12,107.13,1804.3,21540,0
Linganamakki,2011-08-13,108.4,1804.8,19337,0
Linganamakki,2011-08-14,109.21,1805.1,15249,0
Linganamakki,2011-08-15,109.92,1805.35,13143,0
Linganamakki,2011-08-16,110.35,1805.5,11334,0
Linganamakki,2011-08-17,110.91,1805.7,13153,0
Linganamakki,2011-08-18,111.47,1805.9,11792,0
Linganamakki,2011-08-19,111.49,1806.0,8215,0
Linganamakki,2011-08-20,112.46,1806.25,12830,0
Linganamakki,2011-08-21,113.31,1806.55,15139,0
Linganamakki,2011-08-22,114.3,1806.9,13402,0
