Reservoir,Date,Live_Storage(TMC),Reservoir_level(ft/m),Inflow,Outflow
Supa,2010-09-30,120.52,1830.08,1381,0
Supa,2010-12-31,119.74,1829.42,1443,0
Supa,2011-01-01,77.99,1790.03,352,0
Supa,2011-01-02,77.59,1789.6,394,0
Supa,2011-01-03,77.25,1789.21,176,0
Supa,2011-01-04,76.93,1788.88,715,0
Supa,2011-01-05,76.68,1788.58,347,0
Supa,2011-01-06,76.45,1788.32,380,0
Supa,2011-01-07,76.18,1788.03,241,0
Supa,2011-01-08,75.94,1787.76,572,0
Supa,2011-01-09,75.63,1787.4,126,0
Supa,2011-01-10,75.26,1786.98,413,0
Supa,2011-01-11,74.91,1786.62,503,0
Supa,2011-01-12,74.63,1786.29,315,0
Supa,2011-01-13,74.26,1785.86,86,0
Supa,2011-01-14,73.98,1785.53,670,0
Supa,2011-01-15,73.7,1785.21,368,0
Supa,2011-01-16,73.47,1784.94,0,0
Supa,2011-01-17,73.41,1784.88,1136,0
Supa,2011-01-18,73.07,1784.52,327,0
Supa,2011-01-19,72.82,1784.22,850,0
Supa,2011-01-20,72.51,1783.86,437,0
Supa,2011-01-21,72.36,1783.7,225,0
Supa,2011-01-22,72.17,1783.47,0,0
Supa,2011-01-23,71.86,1783.11,588,0
Supa,2011-01-24,71.47,1782.61,253,0
Supa,2011-01-25,71.21,1782.32,437,0
Supa,2011-01-26,70.87,1781.93,78,0
Supa,2011-01-27,70.62,1781.63,858,0
Supa,2011-01-28,70.31,1781.27,858,0
Supa,2011-01-29,70.0,1780.91,225,0
Supa,2011-01-30,69.76,1780.61,830,0
Supa,2011-01-31,69.58,1780.38,0,0
Supa,2011-02-01,69.33,1780.09,669,0
Supa,2011-02-02,68.9,1779.6,400,0
Supa,2011-02-03,68.59,1779.2,265,0
Supa,2011-02-04,68.18,1778.71,392,0
Supa,2011-02-05,67.77,1778.22,499,0
Supa,2011-02-06,67.39,1777.76,809,0
Supa,2011-02-07,67.22,1777.53,222,0
Supa,2011-02-08,66.92,1777.17,166,0
Supa,2011-02-09,66.59,1776.74,0,0
Supa,2011-02-10,66.18,1776.25,1243,0
Supa,2011-02-11,65.86,1775.86,642,0
Supa,2011-02-12,65.44,1775.33,405,0
Supa,2011-02-13,65.05,1774.84,531,0
Supa,2011-02-14,64.78,1774.48,262,0
Supa,2011-02-15,64.37,1773.99,838,0
Supa,2011-02-16,63.95,1773.43,92,0
Supa,2011-02-17,63.52,1772.91,594,0
Supa,2011-02-18,63.11,1772.38,0,0
Supa,2011-02-19,62.67,1771.82,323,0
Supa,2011-02-20,62.03,1771.0,0,0
Supa,2011-02-21,62.03,1771.0,0,0
Supa,2011-02-22,61.72,1770.61,625,0
Supa,2011-02-23,61.45,1770.25,540,0
Supa,2011-02-24,61.18,1769.89,531,0
Supa,2011-02-25,60.85,1769.49,274,0
Supa,2011-02-26,60.52,1769.07,19.0,0
Supa,2011-02-27,60.23,1768.67,5.5,0
Supa,2011-02-28,59.91,1768.25,355.0,0
Supa,2011-03-01,59.58,1767.82,233.0,0
Supa,2011-03-02,59.21,1767.36,265.0,0
Supa,2011-03-03,58.88,1766.94,41.0,0
Supa,2011-03-04,58.56,1766.51,249.0,0
Supa,2011-03-05,58.14,1765.95,460,0
Supa,2011-03-06,57.72,1765.39,490,0
Supa,2011-03-07,57.28,1764.8,184,0
Supa,2011-03-08,56.83,1764.21,290,0
Supa,2011-03-09,56.43,1763.69,1042,0
Supa,2011-03-10,55.97,1763.07,0,0
Supa,2011-03-11,55.5,1762.44,241,0
Supa,2011-03-12,55.08,1761.88,20,0
Supa,2011-03-13,54.66,1761.33,495,0
Supa,2011-03-14,54.21,1760.74,192,0
Supa,2011-03-15,53.77,536.63,225,0
Supa,2011-03-16,53.2,1759.56,270,0
Supa,2011-03-17,52.89,1758.97,0,0
Supa,2011-03-18,52.56,1758.51,0,0
Supa,2011-03-19,52.24,1758.08,0,0
Supa,2011-03-20,51.9,1757.62,237,0
Supa,2011-03-21,51.5,1757.1,0,0
Supa,2011-03-22,51.13,1756.6,270,0
Supa,2011-03-23,50.75,1756.05,0,0
Supa,2011-03-24,50.38,1755.55,221,0
Supa,2011-03-25,50.0,1755.06,0,0
Supa,2011-03-26,49.66,1754.57,360,0
Supa,2011-03-27,49.4,1754.21,70,0
Supa,2011-03-28,49.15,1753.88,327,0
Supa,2011-03-29,48.77,1753.36,0,0
Supa,2011-03-30,48.37,1752.8,0,0
Supa,2011-03-31,47.96,1752.21,278,0
Supa,2011-04-01,47.49,1751.59,18,0
Supa,2011-04-02,47.23,1751.19,0,0
Supa,2011-04-03,46.77,1750.54,34,0
Supa,2011-04-04,46.26,1749.81,45,0
Supa,2011-04-05,45.73,1749.06,0,0
Supa,2011-04-06,45.02,1748.04,0,0
Supa,2011-04-07,44.28,1746.96,146,0
Supa,2011-04-08,43.53,1745.85,320,0
Supa,2011-04-09,42.79,1744.76,16,0
Supa,2011-04-10,42.26,1743.62,0,0
Supa,2011-04-11,41.85,1743.35,392,0
Supa,2011-04-12,41.42,1742.7,135,0
Supa,2011-04-13,41.13,1742.24,0,0
Supa,2011-04-14,40.58,1741.38,0,0
Supa,2011-04-15,39.98,1740.47,503,0
Supa,2011-04-16,39.41,1739.58,12,0
Supa,2011-04-17,38.99,1738.92,0,0
Supa,2011-04-18,38.8,1738.63,0,0
Supa,2011-04-19,38.37,1737.97,0,0
Supa,2011-04-20,38.08,1737.48,114,0
Supa,2011-04-21,37.69,1736.86,0,0
Supa,2011-04-22,37.39,1736.4,233,0
Supa,2011-04-23,37.39,1736.4,0,0
Supa,2011-04-24,37.37,1736.37,90,0
Supa,2011-04-25,37.37,1736.37,0,0
Supa,2011-04-26,37.24,1736.17,41,0
Supa,2011-04-27,37.04,1735.81,0,0
Supa,2011-04-28,36.79,1735.42,45,0
Supa,2011-04-29,36.71,1735.28,0,0
Supa,2011-04-30,36.45,1735.49,0,0
Supa,2011-05-01,36.26,1734.56,0,0
Supa,2011-05-02,36.21,1734.46,0,0
Supa,2011-05-03,36.13,1734.33,119,0
Supa,2011-05-04,35.91,1734.0,0,0
Supa,2011-05-05,35.58,1733.48,184,0
Supa,2011-05-06,35.12,1732.04,45,0
Supa,2011-05-07,34.69,1732.04,45,0
Supa,2011-05-08,34.33,1731.38,45,0
Supa,2011-05-09,33.85,1730.59,0,0
Supa,2011-05-10,33.37,1729.77,45,0
Supa,2011-05-11,32.91,1728.99,119,0
Supa,2011-05-12,32.43,1728.17,0,0
Supa,2011-05-13,31.96,1727.35,25,0
Supa,2011-05-14,31.49,1726.53,53,0
Supa,2011-05-15,31.1,1725.84,237,0
Supa,2011-05-16,30.82,1725.35,0,0
Supa,2011-05-17,30.33,1724.46,0,0
Supa,2011-05-18,30.03,1723.94,0,0
Supa,2011-05-19,29.71,1723.41,0,0
Supa,2011-05-20,29.65,1723.25,0,0
Supa,2011-05-21,29.47,1722.92,0,0
Supa,2011-05-22,29.42,1722.82,0,0
Supa,2011-05-23,29.42,1722.82,106,0
Supa,2011-05-24,29.04,1722.0,20,0
Supa,2011-05-25,28.53,1721.18,188,0
Supa,2011-05-26,27.72,1719.64,0,0
Supa,2011-05-27,27.87,1719.93,425,0
Supa,2011-05-28,27.75,1719.7,61,0
Supa,2011-05-29,27.75,1719.7,0,0
Supa,2011-05-30,27.75,1719.7,0,0
Supa,2011-05-31,27.72,1719.64,0,0
Supa,2011-06-01,27.72,1719.64,0,0
Supa,2011-06-02,27.49,1719.21,1764,0
Supa,2011-06-03,27.75,1719.7,6944,0
Supa,2011-06-04,27.92,1720.03,3204,0
Supa,2011-06-05,27.88,1719.97,0,0
Supa,2011-06-06,28.01,1720.2,1398,0
Supa,2011-06-07,28.03,1720.23,515,0
Supa,2011-06-08,28.01,1720.2,1149,0
Supa,2011-06-09,29.06,1722.07,13565,0
Supa,2011-06-10,29.05,1722.03,3634,0
Supa,2011-06-11,29.06,1722.07,1758,0
Supa,2011-06-12,29.08,1722.1,1116,0
Supa,2011-06-13,29.09,1722.13,204,0
Supa,2011-06-14,29.1,1722.16,123,0
Supa,2011-06-15,29.11,1722.2,204,0
Supa,2011-06-16,29.12,1722.23,1671,0
Supa,2011-06-17,29.69,1723.31,8650,0
Supa,2011-06-18,31.53,1726.59,22328,0
Supa,2011-06-19,31.72,1726.92,1652,0
Supa,2011-06-20,31.72,1726.92,853,0
Supa,2011-06-21,31.96,1727.35,5656,0
Supa,2011-06-22,31.62,1726.76,3550,0
Supa,2011-06-23,31.53,1726.59,4283,0
Supa,2011-06-24,32.47,1728.23,16285,0
Supa,2011-06-25,33.04,1729.22,11382,0
Supa,2011-06-26,33.24,1729.54,6825,0
Supa,2011-06-27,36.1,1734.3,35502,0
Supa,2011-06-28,37.52,1736.6,16463,0
Supa,2011-06-29,38.65,1738.4,13128,0
Supa,2011-06-30,39.07,1739.06,5881,0
Supa,2011-07-01,39.07,1739.12,5019,0
Supa,2011-07-02,39.11,1739.12,5963,0
Supa,2011-07-03,39.71,1740.04,8105,0
Supa,2011-07-04,40.24,1740.86,8542,0
Supa,2011-07-05,40.45,1741.19,7909,0
Supa,2011-07-06,40.55,1741.35,5971,0
Supa,2011-07-07,40.77,1741.68,6548,0
Supa,2011-07-08,41.19,1742.34,7758,0
Supa,2011-07-09,41.3,1742.5,6510,0
Supa,2011-07-10,41.3,1742.5,4373,0
Supa,2011-07-11,41.25,1742.43,4621,0
Supa,2011-07-12,41.3,1742.5,5935,0
Supa,2011-07-13,41.51,1742.83,7937,0
Supa,2011-07-14,42.49,1744.3,15045,0
Supa,2011-07-15,43.26,1745.45,12589,0
Supa,2011-07-16,44.16,1746.8,12499,0
Supa,2011-07-17,46.98,1750.86,34525,0
Supa,2011-07-18,50.42,1755.62,39724,0
Supa,2011-07-19,53.81,1760.21,39343,0
Supa,2011-07-20,56.04,1763.16,25627,0
Supa,2011-07-21,58.14,1765.95,24793,0
Supa,2011-07-22,60.15,1768.58,23567,0
Supa,2011-07-23,61.55,1770.38,16803,0
Supa,2011-07-24,63.72,1773.17,28856,0
Supa,2011-07-25,65.27,1775.14,18066,0
Supa,2011-07-26,66.33,1776.45,12936,0
Supa,2011-07-27,67.0,1777.27,11297,0
Supa,2011-07-28,67.67,1778.09,6630,0
Supa,2011-07-29,68.2,1778.74,9282,0
Supa,2011-07-30,68.69,1779.33,8959,0
Supa,2011-07-31,69.3,1780.06,9119,0
Supa,2011-08-01,69.97,1780.88,10631,0
Supa,2011-08-02,70.59,1781.6,8906,0
Supa,2011-08-03,71.77,1783.01,15552,0
Supa,2011-08-04,73.78,1785.3,24511,0
Supa,2011-08-05,76.96,1787.73,3716,0
Supa,2011-08-06,78.76,1790.88,20775,0
Supa,2011-08-07,80.28,1792.52,17600,0
Supa,2011-08-08,81.53,1793.83,14264,0
Supa,2011-08-09,82.79,1795.14,14420,0
Supa,2011-08-10,83.71,1796.13,10901,0
Supa,2011-08-11,84.34,1796.78,9294,0
Supa,2011-08-12,84.82,1797.28,7868,0
Supa,2011-08-13,85.61,1798.1,1112.5,0
Supa,2011-08-14,86.41,1798.92,10516.0,0
Supa,2011-08-15,87.04,1799.57,9253.0,0
Supa,2011-08-16,87.56,1800.06,7492.0,0
Supa,2011-08-17,88.19,1800.72,10206.0,0
Supa,2011-08-18,88.65,1801.21,8097.0,0
Supa,2011-08-19,89.18,1801.7,8358.0,0
Supa,2011-08-20,90.01,1802.52,11362,0
Supa,2011-08-21,90.84,1803.34,1143,0
Supa,2011-08-22,91.5,1804.0,7946,0
Supa,2011-08-23,92.01,1804.39,6249,0
Supa,2011-08-24,92.34,1804.82,6367,0
Supa,2011-08-25,92.55,1805.02,4488,0
Supa,2011-08-26,92.85,1805.31,6457,0
Supa,2011-08-27,93.53,1805.97,10298,0
Supa,2011-08-28,94.72,1823.52,15111,0
Supa,2011-08-29,96.28,1808.59,17945,0
Supa,2011-08-30,101.02,1813.02,55079,0
Supa,2011-08-31,101.38,1813.35,24775,0
Supa,2011-09-01,103.54,1815.32,25114,0
Supa,2011-09-02,106.83,1818.27,38093,0
Supa,2011-09-03,109.99,1821.06,40942,0
Supa,2011-09-04,113.39,1824.01,34980,0
Supa,2011-09-05,115.3,1825.65,22083,0
Supa,2011-09-06,116.64,1826.8,15554,0
Supa,2011-09-07,117.99,1827.94,15632,0
Supa,2011-09-08,119.74,1829.42,20209,0
Supa,2011-09-09,121.1,1830.57,16108,0
Supa,2011-09-10,122.09,1831.39,12007,0
Supa,2011-09-11,122.87,1832.04,10103,0
Supa,2011-09-12,123.46,1832.54,6952,0
Supa,2011-09-13,124.05,1833.03,7545,0
Supa,2011-09-14,124.25,1833.19,6747,0
Supa,2011-09-15,124.45,1833.36,5354,0
Supa,2011-09-16,124.64,1833.52,4533,0
Supa,2011-09-17,124.84,1833.68,3764,0
Supa,2011-09-18,125.04,1833.85,2718,0
Supa,2011-09-19,125.24,1834.01,6318,0
Supa,2011-09-20,125.04,1833.85,1933,0
Supa,2011-09-21,124.96,1833.78,3458,0
Supa,2011-09-22,124.88,1833.72,3204,0
Supa,2011-09-23,124.76,1833.62,2436,0
